id,titre,description,status,plan,temp_dev_total,temps_test_total,commentaire
F0105,popup Objects grise noeud retire,"Dans le dialog Objects, retirer un membre (chip X ou dblclick) grise le noeud dans le canvas Flux (classe will-remove) pour previsualiser la disparition avant OK. Re-ajout restaure la couleur.",terminee,zone-objects.js markZoEditNodes; style.css will-remove; tests F0105,20min,8min,will-remove gray node
F0106,croix supprimer noeud Flux + focus Annuler,"Clic simple sur un objet Flux: le rectangle s etend et affiche une croix rouge. Clic croix = deleteStep (popup confirmation). Sur la popup suppression, focus defaut sur Annuler pour eviter les fausses manips.",terminee,graph.js node-delete-hit; confirm-dialog focusCancel; tests F0106,35min,12min,node delete cross
F0107,import flux UI dropzone et selects styles,"Dialog Importer flux: design ameliore, zone drag&drop + parcourir fichier/dossier (style dataframe), cartes strategie conflit, select zone cible stylé (renatus-select). Upload arbo via relative_path.",terminee,import-flow.js dropzone; style renatus-select conflict-cards; upload relative_path; tests F0107,50min,18min,import flow UI polish
F0108,documentation README et HTML UML,"Mise a jour README + documentation.html avec diagrammes UML Mermaid backend (Step hierarchy, moteur, services GUI/API/CLI) et frontend (GuiApp, GuiState, controllers, StepTypes) incluant attributs des classes metiers. ARCHITECTURE.md et GUI.md aligns.",terminee,doc/documentation.html mermaid; README; ARCHITECTURE s12; GUI zones,45min,20min,docs UML classes
F0109,lien Doc HTML dans renatus-gui,"Topbar: bouton Doc ouvre /gui/docs/documentation.html (nouvel onglet). Serveur monte doc/ sous /gui/docs et redirect /gui/documentation.",terminee,_doc_dir mount StaticFiles; index btn-docs; tests F0109,20min,8min,gui docs link
F0110,selects theme sombre GUI,"Listes deroulantes (Objects, Requires, Flux, Config, Import) alignees au theme sombre: renatus-select, fleche custom, color-scheme dark, options panel.",terminee,style.css renatus-select global; index wraps; tests F0110,25min,10min,dark themed selects
F0111,import flux dossier arborescence,"Selection dossier parent fiable: boutons Fichier/Dossier distincts, showDirectoryPicker + webkitdirectory force, drop dossier recursif (webkitGetAsEntry), upload arbo sous import_flow/.",terminee,import-flow.js openDirectoryPicker; drop readDirEntry; HTML browse-row; tests F0111,40min,15min,import directory tree
F0112,icones strategies conflit import,"Cartes conflit import: pictogrammes SVG distinctifs — keep_both (2 docs+), keep_existing (bouclier), replace (ecrasement fleche). Couleurs theme par option.",terminee,index conflict-icon SVG; style data-conflict; tests F0112,20min,8min,conflict strategy icons
F0113,import dossier actif et fiable,"Correctif selecteur dossier: webkitdirectory dans HTML, pas attribut hidden, click synchrone (geste user), showDirectoryPicker sans casser le fallback, cache-bust JS/CSS, no-store index.",terminee,import-flow openDirectoryPickerSync; visually-hidden-file; tests F0111/F0113,30min,12min,fix directory picker
F0114,dialogs stylés unifiés renatus-gui,"Remplace window.confirm (Apply all/file, branche, retirer zone) par confirmDialog themé. Base props-dialog commune + variantes icone danger/warn/restore/info. Focus Annuler.",terminee,confirm-dialog variants; changelogs/project/requires; style dialog base; tests F0114,35min,12min,styled confirm dialogs
F0115,Track historique par composant (zone recursive),"Track n affiche que les commits du composant selectionne. Zone: union recursive des membres. Commits: trailers renatus-component/renatus-path. Reset historique git pour repartir de zero.",terminee,project_git paths_log trailers; changelog?step_id; loadStepChangelog; reset-history; tests F0115,90min,35min,track by component
F0116,zone workers + renatus_mode,"Zone: workers (auto|queue|N) et renatus_mode (required_for_leaves|root_to_leaves). Renatus zone: lignes de flux independantes; leaves = build feuilles; root_to_leaves = ordre pipeline. UI Config zone.",terminee,ZoneStep attrs; _build_zone lines; zone.js fields; tests F0116,75min,30min,zone parallel renatus modes
F0117,zone Renatus maj renatus_time des membres,"Build zone: chaque composant builde recoit renatus_time calcule; zone a le temps global. required_for_leaves chronometre aussi les requires dans la ligne. Reponse member_renatus_times + resume UI.",terminee,_build_zone renatus_time per member; expand leaves ancestors; tests F0117,40min,15min,zone member renatus_time
F0118,progression Renatus zone graphe + barre,"Pendant Renatus d une zone: barre progression globale (composants restants) dans la region flux; noeuds pending=gris, running=contour lumineux, done=actif lumineux, hors plan=actif sans glow; retour normal a la fin. Plan API + orchestration client job par job.",terminee,GET plan + POST complete; buildZoneWithProgress; CSS build-*; tests F0118,55min,20min,zone build progress UI
F0119,dataframe mode create_if_not_exists / create_or_replace,"Dataframe: attribut mode comme table/view. Defaut create_if_not_exists: reutilise la relation deja chargee en session (pas de relecture fichier). create_or_replace: toujours relire la source. Etat session DuckDB conserve (df registers, tables, vues).","terminee",DataframeStep mode; GUI field mode; should_process; tests F0119,35min,15min,dataframe mode session
F0120,import dossier sans popup permission FSA,"Eviter la popup Chromium moche File System Access (Autoriser ce site a consulter et copier les fichiers) lors de l import dossier. Preferer webkitdirectory (selecteur OS) ; showDirectoryPicker seulement en repli.",terminee,import-flow openDirectoryPickerSync webkitdirectory first; tests F0120,20min,8min,no FSA permission popup
F0121,scroll horizontal region Flux,"La region Flux avait un scroll vertical mais pas horizontal: le SVG etait force en width:100% ce qui ecrasait le graphe. Corriger pour scroller H+V et voir les noeuds a droite.",terminee,CSS graph-canvas overflow; graph-svg width auto; tests F0121,15min,5min,graph horizontal scroll
F0122,zoom in out region Flux,"Zoom avant/arriere dans le graphe Flux: boutons +/−/100%, Ctrl+molette (pivot curseur), Ctrl+0 reset. viewBox + scale dimensions.",terminee,graph.js setGraphZoom; zoom controls HTML/CSS; tests F0122,40min,12min,graph zoom
F0123,pagination View datasets (3 lignes),"Region View: datasets dataframe/table/view ne chargent plus toute la table. Pagination pageSize=3 par defaut, offset/page API, total_rows, boutons prev/next.",terminee,RelationSerializer offset; preview page; dataview pager UI; tests F0123,45min,15min,dataview pagination
F0124,View lignes par page controlable,"View datasets: selecteur pageSize (3/10/25/50/100). Une seule page chargee via limit+page API — jamais tout le dataset en RAM navigateur.",terminee,dataview-page-size select; setDataViewPageSize; clamp max 100; tests F0124,25min,10min,page size control
F0125,import dossier zones visibles + objects FS,"Import dossier: zones (dossier+yaml) doivent apparaitre dans le selecteur Zone et le graphe parent. list_tabs = toutes zones disque; sync objects depuis FS; ouvrir/activer zone racine importee.",terminee,_ensure_zone attach; list_tabs open_ids None; sync objects FS; tests F0125,50min,20min,import zones visible
F0126,retirer croix fermer zone Flux,"Bouton × fermer zone (revenir main) retire de la barre Flux. Navigation uniquement via le select Zone.",terminee,remove flow-zone-close HTML/JS; tests F0052/F0126,10min,5min,no zone close button
F0127,graphe grise hors lineage requires,"Selection d un composant: grise tous les noeuds/aretes hors data lineage (requires recursifs amont + selection). Focus reste cliquable.",terminee,computeLineageSet; applyLineageHighlight; CSS lineage-dim; tests F0127,30min,10min,graph lineage dim
F0128,auto-zones logiques (all/back/for/bid),"Auto-zones vues calculees sous flow/auto: allzone (composants main hors zones), backzone (requires), forzone (required_by), bidzone (bidir). Ids bac_/for_/bid_ + object ref. Config RO + Convertir en zone physique. Recalculees a chaque lecture.",terminee,auto_zone.py; create/convert API; palette Auto; effective_zone_objects; tests F0128,120min,40min,auto zone views
F0129,alignement doc + tests contrat actuel,"Mise a jour README CORE GUI documentation.html; tests F0101 stem=id; F0104 all hors zones; archive README; commentaires modules. Suite pytest verte.",terminee,docs + fix tests F0001/F0002/F0008/F0016/F0048/F0055/F0082; archive policy,60min,30min,doc and tests sync
F0130,import dossier sans popup Importer N fichiers,"Eviter la popup Chromium moche Importer N fichiers sur ce site (webkitdirectory). Preferer showDirectoryPicker + drop; webkitdirectory en repli avec confirmDialog themé Renatus.",terminee,import-flow FSA first; openWebkitDirectoryFallback; tests F0130,35min,12min,no upload confirm popup
F0131,selecteur zones main-only + autozones dans main,"Selecteur Zone: main + zones physiques seulement. Plus de vue all par defaut (allzone = composant Auto depose dans main). Auto-zones logiques en readonly, convert en zone physique.",terminee,list_tabs filter; auto yaml in main; set_active_tab auto id; tests F0104/F0128/F0131,45min,20min,autozone in main
F0132,pop bloquante progression actions longues,"Import/upload long: pop bloquante Traitement en cours + barre progression (pas d ecran vide). Upload fichier-a-fichier; import avec plan count + phases refresh graphe. ESC bloque.",terminee,progress-dialog.js; withProgress; import-flow wire; CSS; tests F0132,50min,20min,busy progress dialog
F0133,fix hang import 90pct post-traitement,"Import bloque a ~90%: switchTab+ensureSelection+loadDataView sous pop. Chemin leger activate+refreshGraph(skipSelection); selection differee; anti-recursion selectStep; catalogue graphe leger; timeouts.",terminee,import-flow postpath; refreshGraph skipSelection; step-crud guards; graph_ops catalog; tests F0133,40min,15min,import hang 90pct
F0134,zone selectionnee membres actifs non grises,"Si selection = zone (ou auto-zone / zone courante onglet), pas de lineage-dim: tous les composants du graphe restent actifs. F0127 ne s applique qu aux composants metier.",terminee,selectionIsZoneLike; applyLineageHighlight; tests F0127/F0134,25min,10min,zone selection no dim
F0135,liens graphe orthogonaux sans traverser noeuds,"Edges Flux: segments H/V uniquement (plus de bezier). Routage contourne les boites composants (H-V-H + rails haut/bas). Couloirs entre colonnes.",terminee,routeOrthogonalEdge; pathHitsNodes; renderGraph edges; tests F0135,60min,20min,orthogonal edges
F0136,session Python persistante style notebook,"execute_python partage un noyau Python long-vecu par session de travail (variables/imports conserves entre steps). fresh:true = process neuf. Shutdown a close().",terminee,python_kernel.py; get_python_kernel; ExecutePythonStep session; tests F0136,90min,30min,python notebook session
F0137,composant notebook editeur Jupyter + vars session,"Type notebook: crayon script ouvre dialog style Jupyter Lab (cellule, Run, output). Inspecteur variables session Python (list_vars). API /gui/python/session/vars|exec. Partage noyau F0136.",terminee,NotebookStep; notebook-dialog.js; session API; pencil intercept; tests F0137,120min,40min,notebook jupyter dialog
F0138,selecteur zones sans doublons chemins fantomes,"list_tabs: 1 entree par zone id (chemin canonique zone_path), plus de rglob de tous les dossiers FS. Labels desambigues. Cache les imbrications import (ml x3).",terminee,_canonical_zone_tabs; tests F0138,40min,15min,zone tabs dedupe
F0139,autozone = init zone physique (flat/bac/for/bid),"Auto-zone herite comportement zone: a la creation materialise type zone + copie YAML. allzone→flatzone (parent requis, feuilles recursives). back/for/bid: params object. Plus de vue logique RO par defaut.",terminee,create_auto_zone materialize; flatzone; pick parent UI; tests F0128/F0139,90min,30min,autozone init zone
F0140,select custom reste ouvert pour captures ecran,"Remplace popup OS des renatus-select par listbox DOM. Print Screen / Win+Shift+S ne ferment plus le menu. Capture d ecran possible menus deroules.",terminee,renatus-select.js; isScreenshotGesture; wire bootstrap; CSS rs-panel; tests F0140,50min,15min,select screenshot
F0141,select flat-parent fleche UX liste deroulante,"Dialog Flat zone + tous rs-trigger: chevron SVG visible, hint cliquez pour choisir, wrap renatus-select correct. Menu ouvert = fleche inversee.",terminee,rs-chevron; pickParentZone wrap; CSS flat-parent; tests F0141,25min,10min,select chevron UX
F0142,progression creation autozone flat/bac/for/bid,"Apres choix parent/ref, pop bloquante Traitement en cours + barre % pendant create auto-zone (copie YAML) puis refresh graphe. Reutilise withProgress F0132.",terminee,toolbox withProgress auto-zone; tests F0142,30min,10min,autozone progress
F0143,purge staging import_flow apres import,"Apres import reussi depuis project/import_flow/<bundle>, supprimer le bundle temporaire (deja integre dans flow/). Sources hors staging non touchees. dry_run: pas de purge.",terminee,_cleanup_import_flow_staging; import_flow return staging_cleaned; tests F0143,25min,10min,import staging cleanup
